,Wild Lifespan,Gene(s),Mutant Lifespan
477,11.0,hsf-1,7.3
478,12.4,pmk-1,12.4
479,20.7,daf-28,23.4
480,12.2,daf-2,19.8
481,12.2,daf-18,10.0
482,11.77,ins-7,16.66
483,11.77,ins-7; ins-18,13.54
484,16.0,ins-18,18.0
485,10.0,ins-18,10.0
486,16.59,glp-1,20.0
487,13.96,eat-2,16.34
488,22.4,daf-2,38.4
489,19.0,daf-16,15.0
490,21.36,daf-2,39.72
491,19.62,daf-16,15.59
492,15.37,eat-2,17.02
493,13.71,glp-1,16.36
494,17.27,nsy-1,14.96
495,17.27,nsy-1,17.36
496,17.27,pmk-1,16.96
497,17.27,pmk-3,16.52
498,17.27,sek-1,17.74
499,17.27,tir-1,17.73
500,17.27,unc-43,16.31
501,21.5,flr-4,30.16
502,18.97,flr-4,32.12
503,18.81,nhr-8,13.97
504,19.13,daf-2,41.36
505,19.55,daf-16,15.18
506,19.25,flr-4,28.21
507,19.61,flr-4,25.63
508,17.14,flr-4,21.87
509,13.0,gld-1,15.7
510,14.05,glp-1,18.65
511,14.05,glp-4,16.35
512,22.8,vhl-1,30.0
513,20.8,eat-2,25.06
514,17.5,vhl-1,26.25
515,21.6,vhl-1,29.2
516,22.0,daf-2,28.4
517,28.0,daf-2,36.0
518,8.5,daf-18,6.2
519,12.7,daf-18,5.8
520,23.2,age-1,32.1
521,23.2,daf-2,34.3
522,23.2,old-1,28.0
523,13.5,age-1,25.5
524,13.5,daf-16,8.4
525,18.0,vhl-1,21.8
526,19.2,ifg-1,29.8
527,19.2,rsks-1,21.0
528,17.0,pdk-1,27.0
529,12.0,sqt-1; age-1,18.0
530,19.5,eat-2,23.8
531,19.3,eat-2,24.4
532,17.1,age-1,20.3
533,17.3,age-1,20.4
534,17.2,clk-1,22.3
535,16.1,clk-1,20.1
536,22.0,npl-7,18.8
537,22.1,npl-7,18.9
538,22.0,npl-7,19.1
539,22.1,npl-7,19.0
540,22.0,cup-4,18.0
541,22.1,cup-4,17.0
542,15.9,oga-1,20.9
543,15.9,ogt-1,12.9
544,21.6,glp-1,31.0
545,16.9,daf-2,30.6
546,22.5,daf-2,28.8
547,22.5,daf-2,24.4
548,16.9,daf-2,43.0
549,22.5,daf-2,43.8
550,17.9,daf-2,40.6
551,16.9,nhr-49,11.6
552,18.5,nhr-49,24.9
553,20.3,nhr-49,21.6
554,17.0,nhr-49,12.9
555,22.3,osm-9,23.0
556,17.47,osm-9; ocr-2,26.0
557,15.4,shc-1,10.8
558,14.4,shc-1,8.8
559,14.2,shc-1,8.4
560,14.3,shc-1,10.6
561,12.0,shc-1,9.5
562,12.7,shc-1,8.6
563,14.5,shc-1,9.9
564,10.0,glp-4,11.97
565,22.57,daf-16,11.14
566,14.3,hcf-1,17.8
567,13.9,hcf-1,17.5
568,14.4,hcf-1,19.7
569,14.5,hcf-1,18.0
570,14.3,hcf-1,18.2
571,15.4,hcf-1,18.4
572,15.1,hcf-1,18.9
573,15.0,hcf-1,18.9
574,15.1,hcf-1,19.4
575,18.6,hcf-1,22.5
576,18.6,hcf-1,25.0
577,16.7,hcf-1,18.3
578,16.7,sir-2.1,21.0
579,16.7,daf-2,30.3
580,16.8,hcf-1,18.0
581,16.8,sir-2.1,20.9
582,16.8,daf-2,26.1
583,16.8,hcf-1,18.1
584,16.8,daf-2,28.4
585,15.8,hcf-1,22.2
586,15.1,hcf-1,19.8
587,15.5,hcf-1,21.0
588,23.08,skn-1,20.48
589,23.39,daf-16,20.67
590,22.93,skn-1,20.13
591,22.93,daf-16,18.09
592,22.93,daf-16; skn-1,18.65
593,23.67,skn-1,18.96
594,23.67,daf-16,20.61
595,22.56,glp-1,28.54
596,19.46,glp-1,26.46
597,20.98,glp-1,28.73
598,23.96,kri-1,23.13
599,22.09,skn-1,20.67
600,23.15,skn-1,19.37
601,23.44,skn-1,20.28
602,22.67,skn-1,20.76
603,23.08,skn-1,17.71
604,24.77,skn-1,20.11
605,22.09,daf-16,15.57
606,23.15,daf-16,18.63
607,23.44,daf-16,20.0
608,23.58,daf-16,20.49
609,23.16,daf-16,21.7
610,23.08,daf-16,19.15
611,22.87,daf-16,19.7
612,24.77,daf-16,22.09
613,22.09,daf-16; skn-1,18.27
614,23.15,daf-16; skn-1,19.05
615,22.93,daf-16; skn-1,20.09
616,22.17,daf-16; skn-1,20.5
