Wild Lifespan,Gene(s),Mutant Lifespan
20.3,isp-1,29.3
20.3,isp-1,29.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
20.3,eat-2,31.3
16.5,mes-1,24.8
16.6,mes-1,17.5
14.5,mes-1,15.5
18.7,glp-1,22.3
18.8,glp-1,22.6
20.2,glp-1,21.7
18.3,glp-1,21.9
17.9,glp-1,24.0
19.2,glp-1,20.3
18.3,glp-1,21.9
17.9,glp-1,24.0
19.2,glp-1,20.3
17.9,glp-1,24.0
18.5,glp-1,24.2
19.2,glp-1,20.3
18.3,glp-1,21.9
20.4,glp-1,24.2
18.6,glp-1,23.6
18.3,glp-1,21.9
20.4,glp-1,24.2
18.6,glp-1,23.6
17.9,glp-1,24.0
18.5,glp-1,24.2
19.2,glp-1,20.3
19.7,glp-1,21.7
19.2,LPL-4,24.0
18.4,LPL-4,22.7
18.5,LPL-4,21.4
18.0,LPL-4,19.2
18.4,LPL-4,22.7
18.5,LPL-4,21.4
19.0,LPL-4,23.5
18.4,LPL-4,22.7
18.5,LPL-4,21.4
19.0,LPL-4,23.5
19.2,LPL-4,24.0
18.4,LPL-4,22.7
19.0,LPL-4,23.5
18.4,LPL-4,22.7
18.5,LPL-4,21.4
11.3,daf-10,16.3
12.1,daf-10,17.7
10.5,osm-3,12.9
11.8,osm-3,12.6
13.8,osm-3,15.5
12.8,osm-3,15.3
11.6,daf-2,33.3
11.8,daf-2,21.0
11.7,daf-16,9.5
11.2,aak-2,10.8
11.0,hsf-1,7.3
12.4,pmk-1,12.4
20.7,daf-28,23.4
20.7,daf-28,23.4
12.2,daf-2,19.8
12.2,daf-18,10.0
11.77,ins-7,16.66
11.77,ins-7; ins-18,13.54
16.0,ins-18,18.0
10.0,ins-18,10.0
16.59,glp-1,20.0
13.96,eat-2,16.34
22.4,daf-2,38.4
19.0,daf-16,15.0
21.36,daf-2,39.72
19.62,daf-16,15.59
15.37,eat-2,17.02
13.71,glp-1,16.36
17.27,nsy-1,14.96
17.27,nsy-1,17.36
17.27,pmk-1,16.96
17.27,pmk-3,16.52
17.27,sek-1,17.74
17.27,tir-1,17.73
17.27,unc-43,16.31
21.5,flr-4,30.16
18.97,flr-4,32.12
18.81,nhr-8,13.97
19.13,daf-2,41.36
19.55,daf-16,15.18
19.25,flr-4,28.21
19.61,flr-4,25.63
17.14,flr-4,21.87
13.0,gld-1,15.7
14.05,glp-1,18.65
14.05,glp-4,16.35
22.8,vhl-1,30.0
20.8,eat-2,25.06
17.5,vhl-1,26.25
21.6,vhl-1,29.2
22.0,daf-2,28.4
28.0,daf-2,36.0
8.5,daf-18,6.2
12.7,daf-18,5.8
23.2,age-1,32.1
23.2,age-1,32.1
23.2,daf-2,34.3
23.2,old-1,28.0
13.5,age-1,25.5
13.5,daf-16,8.4
18.0,vhl-1,21.8
18.0,vhl-1,21.8
19.2,ifg-1,29.8
19.2,rsks-1,21.0
19.2,rsks-1,21.0
17.0,pdk-1,27.0
12.0,sqt-1; age-1,18.0
12.0,sqt-1; age-1,18.0
19.5,eat-2,23.8
19.3,eat-2,24.4
19.5,eat-2,23.8
19.3,eat-2,24.4
19.5,eat-2,23.8
19.3,eat-2,24.4
17.1,age-1,20.3
17.3,age-1,20.4
17.1,age-1,20.3
17.3,age-1,20.4
17.1,age-1,20.3
17.3,age-1,20.4
17.2,clk-1,22.3
16.1,clk-1,20.1
22.0,npl-7,18.8
22.1,npl-7,18.9
22.0,npl-7,18.8
22.1,npl-7,18.9
22.0,npl-7,19.1
22.1,npl-7,19.0
22.0,npl-7,19.1
22.1,npl-7,19.0
22.0,cup-4,18.0
22.1,cup-4,17.0
22.0,cup-4,18.0
22.1,cup-4,17.0
15.9,oga-1,20.9
15.9,oga-1,20.9
15.9,ogt-1,12.9
15.9,oga-1,20.9
15.9,ogt-1,12.9
15.9,oga-1,20.9
15.9,ogt-1,12.9
15.9,oga-1,20.9
15.9,ogt-1,12.9
15.9,oga-1,20.9
15.9,oga-1,20.9
21.6,glp-1,31.0
16.9,daf-2,30.6
22.5,daf-2,28.8
22.5,daf-2,24.4
16.9,daf-2,43.0
22.5,daf-2,43.8
17.9,daf-2,40.6
16.9,nhr-49,11.6
21.6,glp-1,31.0
21.6,glp-1,31.0
18.5,nhr-49,24.9
20.3,nhr-49,21.6
20.3,nhr-49,21.6
17.0,nhr-49,12.9
17.0,nhr-49,12.9
17.0,nhr-49,12.9
16.9,nhr-49,11.6
16.9,nhr-49,11.6
16.9,nhr-49,11.6
22.3,osm-9,23.0
17.47,osm-9; ocr-2,26.0
15.4,shc-1,10.8
14.4,shc-1,8.8
14.2,shc-1,8.4
14.3,shc-1,10.6
14.2,shc-1,8.4
12.0,shc-1,9.5
12.7,shc-1,8.6
12.7,shc-1,8.6
14.5,shc-1,9.9
10.0,glp-4,11.97
22.57,daf-16,11.14
14.3,hcf-1,17.8
14.3,hcf-1,17.8
13.9,hcf-1,17.5
13.9,hcf-1,17.5
14.4,hcf-1,19.7
14.4,hcf-1,19.7
14.4,hcf-1,19.7
14.4,hcf-1,19.7
14.4,hcf-1,19.7
14.5,hcf-1,18.0
14.5,hcf-1,18.0
14.5,hcf-1,18.0
14.5,hcf-1,18.0
14.5,hcf-1,18.0
14.3,hcf-1,18.2
14.3,hcf-1,18.2
14.3,hcf-1,18.2
14.3,hcf-1,18.2
14.3,hcf-1,18.2
15.4,hcf-1,18.4
