Gene(s),Wild Lifespan,Mutant Lifespan,Percent Change
isp-1,20.3,29.3,44.335
isp-1,20.3,29.3,44.335
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
eat-2,20.3,31.3,54.187
mes-1,16.5,24.8,50.303
mes-1,16.6,17.5,5.422
mes-1,14.5,15.5,6.897
glp-1,18.7,22.3,19.251
glp-1,18.8,22.6,20.213
glp-1,20.2,21.7,7.426
glp-1,18.3,21.9,19.672
glp-1,17.9,24.0,34.078
glp-1,19.2,20.3,5.729
glp-1,18.3,21.9,19.672
glp-1,17.9,24.0,34.078
glp-1,19.2,20.3,5.729
glp-1,17.9,24.0,34.078
glp-1,18.5,24.2,30.811
glp-1,19.2,20.3,5.729
glp-1,18.3,21.9,19.672
glp-1,20.4,24.2,18.627
glp-1,18.6,23.6,26.882
glp-1,18.3,21.9,19.672
glp-1,20.4,24.2,18.627
glp-1,18.6,23.6,26.882
glp-1,17.9,24.0,34.078
glp-1,18.5,24.2,30.811
glp-1,19.2,20.3,5.729
glp-1,19.7,21.7,10.152
LPL-4,19.2,24.0,25.0
LPL-4,18.4,22.7,23.37
LPL-4,18.5,21.4,15.676
LPL-4,18.0,19.2,6.667
LPL-4,18.4,22.7,23.37
LPL-4,18.5,21.4,15.676
LPL-4,19.0,23.5,23.684
LPL-4,18.4,22.7,23.37
LPL-4,18.5,21.4,15.676
LPL-4,19.0,23.5,23.684
LPL-4,19.2,24.0,25.0
LPL-4,18.4,22.7,23.37
LPL-4,19.0,23.5,23.684
LPL-4,18.4,22.7,23.37
LPL-4,18.5,21.4,15.676
daf-10,11.3,16.3,44.248
daf-10,12.1,17.7,46.281
osm-3,10.5,12.9,22.857
osm-3,11.8,12.6,6.78
osm-3,13.8,15.5,12.319
osm-3,12.8,15.3,19.531
daf-2,11.6,33.3,187.069
daf-2,11.8,21.0,77.966
daf-16,11.7,9.5,-18.803
aak-2,11.2,10.8,-3.571
hsf-1,11.0,7.3,-33.636
pmk-1,12.4,12.4,0.0
daf-28,20.7,23.4,13.043
daf-28,20.7,23.4,13.043
daf-2,12.2,19.8,62.295
daf-18,12.2,10.0,-18.033
ins-7,11.77,16.66,41.546
ins-7; ins-18,11.77,13.54,15.038
ins-18,16.0,18.0,12.5
ins-18,10.0,10.0,0.0
glp-1,16.59,20.0,20.555
eat-2,13.96,16.34,17.049
daf-2,22.4,38.4,71.429
daf-16,19.0,15.0,-21.053
daf-2,21.36,39.72,85.955
daf-16,19.62,15.59,-20.54
